13 teame
13 suutnud
13 seksikas
13 sealt
13 raamat
13 pidin
13 peaksime
13 pagan
13 oi
13 nibu
13 moodi
13 liigume
13 leidsin
13 laulu
13 kuhu
13 kellegi
13 kaotasin
13 inimene
13 hommikul
13 helistama
13 helistada
13 hakkan
13 filmi
13 elus
13 eemale
13 bob
13 angela
13 alice
12 vabanda
12 tulemast
12 tribbiani
12 teised
12 teadsid
12 tavaline
12 sinust
12 sellele
12 rossi
12 poole
12 otsustada
12 neist
12 mitu
12 kutiga
12 kurat
12 kohtamine
12 koer
12 kavatse
12 kardan
12 juua
12 imeline
12 ima
12 ija
12 hullem
12 haisukassi
12 armastad
12 annan
12 aitan
12 ahv
11 viimasel
11 vaatama
11 tulge
11 tubli
11 teavad
11 tark
11 tahtis
11 tahame
11 taga
11 suri
11 rumal
11 racheli
11 proovime
11 probleeme
11 polegi
11 pani
11 nendega
11 naisega
11 meist
11 meiega
11 mehe
11 meeldin
11 maganud
11 lihtne
11 leidnud
11 kuud
11 korteris
11 korras
11 kohtunud
11 kingitus
11 kasutada
11 kassi
11 joe
11 eile
11 ees
11 arust
11 arst
11 armastavad
10 veidi
10 varem
10 vanemad
10 ukse
10 tulid
10 tulema
10 tuju
10 telekas
10 tegime
10 tahtsid
10 suured
10 surm
10 seksi
10 saime
10 rinnad
10 riided
10 probleemi
10 paks
10 omad
10 moore
10 minge
10 mehed
10 lahku
10 kuum
10 kuulge
10 kumb
10 korterit
10 kleepuvad
10 kihla
10 kana
10 imida
10 ilusad
10 igav
10 igatahes
10 idioot
10 huvitab
10 hiljem
10 helistas
10 helistanud
10 esiteks
10 esimest
10 erilist
10 arvate
10 arvasid
10 andis
10 anda
9 yi
9 vait
9 vahest
9 vaatad
9 uue
9 uskunud
9 tutvuda
9 tundsin
9 tundnud
9 tundeid
9 tulin
9 tulevad
9 tugev
9 too
9 temast
9 tasuta
9 tasa
9 tahavad
9 tahaksin
9 sinusse
9 samuti
9 saate
9 robert
9 ramoray
9 racheliga
9 pitsa
9 pausi
9 paremaks
9 palli
9 ostsin
9 ootan
9 oodata
9 one
9 neerukivid
9 naist
9 naerad
9 michelle
9 meelega
9 magama
9 maailma
9 loomulikult
9 loeb
9 kurb
9 koli
9 kohtasin
9 kirjas
9 kingad
9 kellelgi
9 kathy
9 kannad
9 kala
9 juhtuda
9 jooksul
9 jalg
9 jack
9 issi
9 ime
9 ihaisukass
9 igatsen
9 idee
9 hulluks
9 hoian
9 hakkame
9 haige
9 fonzie
9 film
9 esimese
9 eddie
9 chloe
9 central
9 beth
9 arvatavasti
9 ajast
9 ajas
9 abi
8 viska
8 viia
8 vastus
8 varastab
8 valus
8 vahetada
8 usun
8 unustada
8 tooli
8 toas
8 telefon
8 tegemist
8 takso
8 suurem
8 sureb
8 sophie
8 soeng
8 silma
8 samas
8 russ
8 rossile
8 riideid
8 raamatu
8 pihta
8 peol
8 peaksite
8 paneme
8 otsin
8 oskan
8 olegi
8 nuppu
8 noor
8 nemad
8 naisi
8 munad
8 moosi
8 meest
8 lugema
8 loed
8 leppima
8 laual
8 kuulsid
8 kutti
8 kuidagi
8 korterikaaslane
8 korteri
8 kooki
8 kohting
8 kingi
8 kellele
8 kellel
8 keha
8 kasuta
8 kao
8 jumaluke
8 juhtu
8 jess
8 jason
8 jakki
8 iva
8 iial
8 hommikut
8 hoiame
8 helistasid
8 green
8 fantastiline
8 ettekandja
8 elada
8 elad
8 demi
8 chandleri
8 bonnie
8 atlantic
8 andke
8 ajad
8 ajab
8 aita
7 with
7 vii
7 vetsu
7 veini
7 vara
7 vanaisa
7 valu
7 unustasid
7 tuppa
7 tunneb
7 tuleksid
7 tommy
